T_model,func_rho,func_cp,func_k
-3.381881881881881924e+01,1.067765480295629004e+03,2.589810286487349003e+03,1.076449086005213385e+00
-3.375375375375375597e+01,1.067768047795348139e+03,2.592310723117990165e+03,1.076509437029363969e+00
-3.368868868868868560e+01,1.067770665966750130e+03,2.594825661482211217e+03,1.076568750323985801e+00
-3.362362362362362234e+01,1.067773335106459854e+03,2.597355213937754797e+03,1.076627023101762060e+00
-3.355855855855855907e+01,1.067776055513418896e+03,2.599899493932636688e+03,1.076684252544066078e+00
-3.349349349349349581e+01,1.067778827488903744e+03,2.602458616017879649e+03,1.076740435800668916e+00
-3.342842842842842543e+01,1.067781651336552386e+03,2.605032695860394597e+03,1.076795569989435819e+00
-3.336336336336336217e+01,1.067784527362386825e+03,2.607621850256062771e+03,1.076849652196023355e+00
-3.329829829829829890e+01,1.067787455874835132e+03,2.610226197142972978e+03,1.076902679473570767e+00
-3.323323323323323564e+01,1.067790437184755547e+03,2.612845855614859829e+03,1.076954648842386675e+00
-3.316816816816816527e+01,1.067793471605461036e+03,2.615480945934715237e+03,1.077005557289638205e+00
-3.310310310310310200e+01,1.067796559452745214e+03,2.618131589548593638e+03,1.077055401769027476e+00
-3.303803803803803874e+01,1.067799701044902349e+03,2.620797909099607296e+03,1.077104179200471856e+00
-3.297297297297297547e+01,1.067802896702756016e+03,2.623480028442103958e+03,1.077151886469778663e+00
-3.290790790790790510e+01,1.067806146749684331e+03,2.626178072656060522e+03,1.077198520428311657e+00
-3.284284284284284183e+01,1.067809451511642465e+03,2.628892168061659959e+03,1.077244077892658636e+00
-3.277777777777777857e+01,1.067812811317191517e+03,2.631622442234082428e+03,1.077288555644296819e+00
-3.271271271271271530e+01,1.067816226497523076e+03,2.634369024018487835e+03,1.077331950429244900e+00
-3.264764764764764493e+01,1.067819697386485132e+03,2.637132043545227134e+03,1.077374258957722875e+00
-3.258258258258258167e+01,1.067823224320610507e+03,2.639911632245250530e+03,1.077415477903798990e+00
-3.251751751751751840e+01,1.067826807639141862e+03,2.642707922865736236e+03,1.077455603905036474e+00
-3.245245245245244803e+01,1.067830447684060800e+03,2.645521049485947970e+03,1.077494633562134707e+00
-3.238738738738738476e+01,1.067834144800114700e+03,2.648351147533299354e+03,1.077532563438569957e+00
-3.232232232232232150e+01,1.067837899334844224e+03,2.651198353799654797e+03,1.077569390060223453e+00
-3.225725725725725823e+01,1.067841711638613106e+03,2.654062806457864099e+03,1.077605109915013681e+00
-3.219219219219219497e+01,1.067845582064636119e+03,2.656944645078519898e+03,1.077639719452521350e+00
-3.212712712712712460e+01,1.067849510969006587e+03,2.659844010646965671e+03,1.077673215083606362e+00
-3.206206206206206133e+01,1.067853498710729355e+03,2.662761045580535210e+03,1.077705593180027011e+00
